"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2023","8,100.0","8,080.0","8,150.0","8,070.0","1.79M","0.25%"
"05/05/2023","8,080.0","8,020.0","8,160.0","8,020.0","1.48M","0.87%"
"05/04/2023","8,010.0","8,000.0","8,120.0","7,990.0","2.21M","-1.96%"
"04/28/2023","8,170.0","8,250.0","8,290.0","8,170.0","1.48M","-0.37%"
"04/27/2023","8,200.0","8,200.0","8,250.0","8,150.0","1.77M","0.74%"
"04/26/2023","8,140.0","8,200.0","8,200.0","8,020.0","1.07M","0.00%"
"04/25/2023","8,140.0","8,300.0","8,360.0","8,120.0","1.61M","-0.73%"
"04/24/2023","8,200.0","8,110.0","8,390.0","8,040.0","2.62M","2.37%"
"04/21/2023","8,010.0","8,110.0","8,130.0","7,970.0","2.36M","-1.35%"
"04/20/2023","8,120.0","8,150.0","8,270.0","8,020.0","2.83M","-2.29%"
"04/19/2023","8,310.0","8,510.0","8,540.0","8,300.0","2.65M","-1.07%"
"04/18/2023","8,400.0","8,050.0","8,450.0","7,980.0","5.19M","5.00%"
"04/17/2023","8,000.0","8,010.0","8,100.0","7,990.0","1.57M","-0.50%"
"04/14/2023","8,040.0","8,150.0","8,150.0","8,000.0","2.30M","-0.99%"
"04/13/2023","8,120.0","8,010.0","8,250.0","8,010.0","1.87M","0.87%"
"04/12/2023","8,050.0","8,200.0","8,200.0","8,000.0","3.73M","-1.95%"
"04/11/2023","8,210.0","8,300.0","8,400.0","7,800.0","5.00M","-1.20%"
"04/10/2023","8,310.0","8,540.0","8,700.0","8,260.0","2.88M","-2.69%"
"04/07/2023","8,540.0","8,600.0","8,600.0","8,410.0","1.80M","-0.12%"
"04/06/2023","8,550.0","8,650.0","8,850.0","8,550.0","4.23M","0.47%"
"04/05/2023","8,510.0","8,500.0","8,700.0","8,480.0","3.23M","0.12%"
"04/04/2023","8,500.0","8,530.0","8,670.0","8,460.0","2.92M","0.59%"
"04/03/2023","8,450.0","8,400.0","8,490.0","8,360.0","3.41M","1.93%"
"03/31/2023","8,290.0","8,380.0","8,410.0","8,180.0","1.21M","-0.12%"
"03/30/2023","8,300.0","8,150.0","8,490.0","8,080.0","3.06M","3.23%"
"03/29/2023","8,040.0","8,120.0","8,120.0","8,010.0","1.10M","-0.86%"
"03/28/2023","8,110.0","8,190.0","8,320.0","8,110.0","1.79M","-0.49%"
"03/27/2023","8,150.0","8,000.0","8,150.0","8,000.0","1.50M","2.77%"
"03/24/2023","7,930.0","7,900.0","7,960.0","7,870.0","1.43M","1.02%"
"03/23/2023","7,850.0","7,810.0","7,900.0","7,810.0","754.70K","-0.63%"
"03/22/2023","7,900.0","8,000.0","8,000.0","7,900.0","869.30K","-0.38%"
"03/21/2023","7,930.0","7,970.0","8,000.0","7,870.0","847.60K","0.51%"
"03/20/2023","7,890.0","8,000.0","8,040.0","7,890.0","1.72M","-1.74%"
"03/17/2023","8,030.0","8,040.0","8,190.0","8,000.0","899.60K","0.12%"
"03/16/2023","8,020.0","8,100.0","8,160.0","7,970.0","1.55M","-2.43%"
"03/15/2023","8,220.0","8,140.0","8,250.0","8,020.0","1.53M","3.27%"
"03/14/2023","7,960.0","8,150.0","8,160.0","7,940.0","2.71M","-2.69%"
"03/13/2023","8,180.0","8,250.0","8,350.0","8,130.0","1.61M","-2.04%"
"03/10/2023","8,350.0","8,450.0","8,480.0","8,300.0","1.43M","-1.42%"
"03/09/2023","8,470.0","8,450.0","8,560.0","8,440.0","1.89M","0.83%"
"03/08/2023","8,400.0","8,300.0","8,460.0","8,200.0","1.16M","1.20%"
"03/07/2023","8,300.0","8,350.0","8,580.0","8,250.0","1.08M","-1.19%"
"03/06/2023","8,400.0","8,500.0","8,700.0","8,400.0","1.25M","0.48%"
"03/03/2023","8,360.0","8,850.0","8,850.0","8,360.0","1.08M","-1.07%"
"03/02/2023","8,450.0","8,500.0","8,610.0","8,450.0","664.80K","-0.59%"
"03/01/2023","8,500.0","8,180.0","8,500.0","8,080.0","1.46M","4.04%"
"02/28/2023","8,170.0","8,200.0","8,370.0","8,140.0","1.11M","0.12%"
"02/27/2023","8,160.0","8,450.0","8,450.0","8,160.0","1.31M","-4.00%"
"02/24/2023","8,500.0","8,700.0","8,800.0","8,500.0","866.40K","-2.19%"
"02/23/2023","8,690.0","8,800.0","8,830.0","8,450.0","2.05M","-1.25%"
"02/22/2023","8,800.0","9,030.0","9,150.0","8,800.0","2.57M","-4.14%"
"02/21/2023","9,180.0","9,300.0","9,380.0","9,060.0","2.66M","0.00%"
"02/20/2023","9,180.0","8,800.0","9,200.0","8,750.0","2.78M","5.15%"
"02/17/2023","8,730.0","8,800.0","8,990.0","8,650.0","1.68M","0.34%"
"02/16/2023","8,700.0","8,690.0","8,750.0","8,560.0","1.67M","1.64%"
"02/15/2023","8,560.0","8,250.0","8,600.0","8,210.0","2.97M","6.20%"
"02/14/2023","8,060.0","8,380.0","8,380.0","7,940.0","1.55M","-3.82%"
"02/13/2023","8,380.0","8,380.0","8,650.0","8,380.0","6.36M","-6.99%"
"02/10/2023","9,010.0","9,170.0","9,250.0","9,000.0","1.57M","-2.59%"
"02/09/2023","9,250.0","9,100.0","9,400.0","9,100.0","960.50K","0.54%"
"02/08/2023","9,200.0","9,370.0","9,480.0","8,950.0","2.06M","-0.86%"
"02/07/2023","9,280.0","9,740.0","9,740.0","9,220.0","2.79M","-3.93%"
"02/06/2023","9,660.0","9,600.0","9,710.0","9,250.0","1.45M","0.31%"
"02/03/2023","9,630.0","9,460.0","9,980.0","9,410.0","2.09M","1.69%"
"02/02/2023","9,470.0","9,900.0","9,980.0","9,400.0","3.38M","-4.25%"
"02/01/2023","9,890.0","10,600.0","10,750.0","9,800.0","4.57M","-5.81%"
"01/31/2023","10,500.0","10,250.0","10,500.0","10,100.0","3.99M","0.48%"
"01/30/2023","10,450.0","10,450.0","10,700.0","10,200.0","5.71M","2.45%"
"01/27/2023","10,200.0","9,720.0","10,200.0","9,570.0","4.64M","6.81%"
"01/19/2023","9,550.0","9,610.0","9,680.0","9,420.0","2.69M","-0.62%"
"01/18/2023","9,610.0","9,800.0","9,800.0","9,510.0","3.41M","3.33%"
"01/17/2023","9,300.0","8,700.0","9,300.0","8,700.0","4.59M","6.90%"
"01/16/2023","8,700.0","8,900.0","8,980.0","8,690.0","1.33M","-1.47%"
"01/13/2023","8,830.0","9,050.0","9,050.0","8,800.0","1.63M","-0.45%"
"01/12/2023","8,870.0","9,100.0","9,100.0","8,810.0","1.60M","-0.78%"
"01/11/2023","8,940.0","9,060.0","9,190.0","8,940.0","2.14M","-0.56%"
"01/10/2023","8,990.0","8,790.0","9,050.0","8,610.0","2.71M","3.93%"
"01/09/2023","8,650.0","8,500.0","8,990.0","8,450.0","2.60M","0.00%"
"01/06/2023","8,650.0","9,160.0","9,200.0","8,640.0","6.31M","-6.28%"
"01/05/2023","9,230.0","9,650.0","9,650.0","9,200.0","3.09M","-3.95%"
"01/04/2023","9,610.0","9,590.0","9,980.0","9,450.0","2.88M","1.69%"
"01/03/2023","9,450.0","8,570.0","9,500.0","8,570.0","7.19M","2.61%"
"12/30/2022","9,210.0","9,380.0","9,380.0","9,170.0","1.54M","-0.22%"
"12/29/2022","9,230.0","9,330.0","9,560.0","9,230.0","1.54M","-1.07%"
"12/28/2022","9,330.0","9,580.0","9,580.0","9,330.0","1.41M","-1.79%"
"12/27/2022","9,500.0","8,940.0","9,500.0","8,600.0","1.55M","6.26%"
"12/26/2022","8,940.0","9,610.0","9,870.0","8,940.0","2.62M","-6.97%"
"12/23/2022","9,610.0","9,500.0","9,710.0","9,470.0","1.67M","1.16%"
"12/22/2022","9,500.0","9,430.0","9,700.0","9,250.0","1.59M","0.96%"
"12/21/2022","9,410.0","10,000.0","10,000.0","9,130.0","2.90M","-3.98%"
"12/20/2022","9,800.0","10,350.0","10,500.0","9,680.0","5.74M","-5.77%"
"12/19/2022","10,400.0","10,600.0","11,100.0","10,400.0","5.15M","-4.59%"
"12/16/2022","10,900.0","10,600.0","11,300.0","10,450.0","4.18M","1.40%"
"12/15/2022","10,750.0","11,000.0","11,200.0","10,700.0","3.62M","-2.71%"
"12/14/2022","11,050.0","11,650.0","11,900.0","11,050.0","5.84M","-3.91%"
"12/13/2022","11,500.0","10,700.0","11,500.0","10,450.0","6.74M","2.68%"
"12/12/2022","11,200.0","11,250.0","11,250.0","10,800.0","7.84M","6.16%"
"12/09/2022","10,550.0","10,000.0","10,550.0","9,850.0","5.50M","6.67%"
"12/08/2022","9,890.0","9,600.0","10,050.0","9,560.0","2.34M","4.66%"
"12/07/2022","9,450.0","9,450.0","10,000.0","9,450.0","4.00M","-6.90%"
"12/06/2022","10,150.0","10,450.0","10,850.0","10,150.0","7.15M","-6.88%"
"12/05/2022","10,900.0","11,100.0","11,100.0","10,550.0","5.36M","2.35%"
"12/02/2022","10,650.0","9,800.0","10,650.0","9,550.0","6.13M","6.50%"
"12/01/2022","10,000.0","9,560.0","10,050.0","9,560.0","7.69M","6.16%"
"11/30/2022","9,420.0","9,080.0","9,550.0","8,880.0","4.03M","4.43%"
"11/29/2022","9,020.0","9,050.0","9,050.0","8,500.0","7.75M","6.62%"
"11/28/2022","8,460.0","8,400.0","8,460.0","8,300.0","2.29M","6.95%"
"11/25/2022","7,910.0","7,470.0","7,910.0","7,470.0","2.17M","6.89%"
"11/24/2022","7,400.0","7,400.0","7,520.0","7,000.0","1.79M","-0.54%"
"11/23/2022","7,440.0","7,850.0","8,150.0","7,440.0","2.09M","-6.88%"
"11/22/2022","7,990.0","8,000.0","8,640.0","7,800.0","4.49M","-1.24%"
"11/21/2022","8,090.0","8,000.0","8,120.0","7,700.0","2.50M","5.06%"
"11/18/2022","7,700.0","7,600.0","8,000.0","7,070.0","5.22M","1.32%"
"11/17/2022","7,600.0","7,480.0","7,720.0","7,400.0","2.74M","5.26%"
"11/16/2022","7,220.0","6,280.0","7,220.0","6,280.0","8.65M","6.96%"
"11/15/2022","6,750.0","6,750.0","6,750.0","6,750.0","497.30K","-6.90%"
"11/14/2022","7,250.0","7,250.0","7,490.0","7,250.0","1.79M","-6.93%"
"11/11/2022","7,790.0","8,370.0","8,480.0","7,790.0","3.74M","-6.93%"
"11/10/2022","8,370.0","8,510.0","8,710.0","8,370.0","2.40M","-7.00%"
"11/09/2022","9,000.0","9,140.0","9,350.0","9,000.0","2.13M","-0.44%"
"11/08/2022","9,040.0","9,040.0","9,340.0","9,040.0","4.28M","-7.00%"
"11/07/2022","9,720.0","10,300.0","10,450.0","9,720.0","1.69M","-6.99%"
"11/04/2022","10,450.0","10,800.0","11,200.0","10,450.0","3.01M","-6.70%"
"11/03/2022","11,200.0","10,300.0","11,200.0","10,300.0","3.69M","6.67%"
"11/02/2022","10,500.0","10,700.0","10,850.0","10,500.0","1.62M","0.48%"
"11/01/2022","10,450.0","10,400.0","10,550.0","10,250.0","1.56M","3.47%"
"10/31/2022","10,100.0","10,850.0","10,850.0","10,000.0","1.95M","-6.05%"
"10/28/2022","10,750.0","11,000.0","11,250.0","10,700.0","2.16M","0.00%"
"10/27/2022","10,750.0","10,000.0","10,750.0","9,800.0","3.14M","6.97%"
"10/26/2022","10,050.0","10,500.0","11,300.0","10,050.0","2.79M","-6.94%"
"10/25/2022","10,800.0","11,250.0","11,950.0","10,750.0","3.13M","-6.49%"
