"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2021","17,742.0","17,742.0","18,075.0","17,455.0","2.69M","1.09%"
"03/11/2021","17,551.0","17,455.0","17,932.0","17,265.0","2.51M","0.82%"
"03/10/2021","17,408.0","17,837.0","17,980.0","17,408.0","1.71M","-1.35%"
"03/09/2021","17,646.0","16,502.0","17,646.0","16,454.0","5.54M","6.93%"
"03/08/2021","16,502.0","16,788.0","16,835.0","16,358.0","1.88M","0.00%"
"03/05/2021","16,502.0","16,502.0","16,645.0","16,168.0","1.52M","-0.57%"
"03/04/2021","16,597.0","17,169.0","17,217.0","16,311.0","1.14M","-3.07%"
"03/03/2021","17,122.0","16,931.0","17,360.0","16,692.0","1.52M","1.42%"
"03/02/2021","16,883.0","16,978.0","17,169.0","16,645.0","1.70M","0.00%"
"03/01/2021","16,883.0","16,788.0","16,883.0","16,597.0","943.40K","1.14%"
"02/26/2021","16,692.0","16,406.0","16,835.0","16,120.0","1.01M","0.57%"
"02/25/2021","16,597.0","16,788.0","16,835.0","16,358.0","1.32M","-1.14%"
"02/24/2021","16,788.0","17,169.0","17,455.0","16,502.0","1.50M","-2.22%"
"02/23/2021","17,169.0","16,835.0","17,646.0","16,454.0","2.01M","1.98%"
"02/22/2021","16,835.0","16,645.0","16,978.0","16,502.0","1.67M","1.43%"
"02/19/2021","16,597.0","16,406.0","16,597.0","16,406.0","968.60K","0.00%"
"02/18/2021","16,597.0","16,978.0","16,978.0","16,502.0","693.10K","-0.57%"
"02/17/2021","16,692.0","16,502.0","16,692.0","16,168.0","1.32M","2.94%"
"02/09/2021","16,215.0","16,072.0","16,502.0","15,786.0","463.10K","2.10%"
"02/08/2021","15,882.0","16,215.0","16,502.0","15,738.0","590.70K","-2.34%"
"02/05/2021","16,263.0","16,025.0","16,454.0","16,025.0","432.40K","1.49%"
"02/04/2021","16,025.0","16,311.0","16,311.0","15,882.0","278.30K","-1.17%"
